benchmark_id,part,sweep_axis,sweep_value,run_id,model,request,prio_class,arrival,attach,complete,attach_gain,complete_gain,beat_low_attach,beat_low_complete,queue_ms,latency_ms,low_wait_ms,high_wait_ms,low_latency_ms,high_latency_ms,high_attach_leapfrogs,high_complete_leapfrogs,top_prio_compat,worker_hint_status,worker_top_prio_status,sglang_prio_status,worker_hint_prio,sent_top_prio,worker_top_prio,sglang_prio,runtime_match,effect
priority_scheduling_microbenchmark_20260702_194837,sweep,PRIORITY_ARRIVAL_GAP_MS,50,priority_scheduling_microbenchmark_20260702_194837__sweep_1,Qwen/Qwen2.5-Coder-7B-Instruct,,,,,,,,,,,,7975,3724,12956,13179,28,16,unsupported,full,none,worker_received_hint,,,,,,yes
priority_scheduling_microbenchmark_20260702_194837,sweep,PRIORITY_ARRIVAL_GAP_MS,100,priority_scheduling_microbenchmark_20260702_194837__sweep_2,Qwen/Qwen2.5-Coder-7B-Instruct,,,,,,,,,,,,587,696,2160,2254,16,15,unsupported,full,none,worker_received_hint,,,,,,yes
priority_scheduling_microbenchmark_20260702_194837,sweep,PRIORITY_ARRIVAL_GAP_MS,200,priority_scheduling_microbenchmark_20260702_194837__sweep_3,Qwen/Qwen2.5-Coder-7B-Instruct,,,,,,,,,,,,383,528,1996,2047,12,15,unsupported,full,none,worker_received_hint,,,,,,yes
priority_scheduling_microbenchmark_20260702_194837,sweep,PRIORITY_ARRIVAL_GAP_MS,400,priority_scheduling_microbenchmark_20260702_194837__sweep_4,Qwen/Qwen2.5-Coder-7B-Instruct,,,,,,,,,,,,456,413,2176,2662,4,8,unsupported,full,none,worker_received_hint,,,,,,yes
