benchmark_id,part,run_id,model,kv_tier,arm,hint_profile,cache_control,distractors,first_status,replay_status,first_ms,replay_ms,delta_ms,speedup_x,replay_cached,replay_reuse,warm,warm_source,req_prio_status,worker_prio_status,replay_evicts,replay_evict_cache,replay_evict_status,result
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,25,200,200,155,71,-84,2.183,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,25,200,200,154,69,-85,2.232,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,frontend_priority_unsupported
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,50,200,200,155,165,10,0.939,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,50,200,200,153,70,-83,2.186,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,frontend_priority_unsupported
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,75,200,200,155,214,59,0.724,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,75,200,200,154,69,-85,2.232,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,frontend_priority_unsupported
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,control,none,off,100,200,200,155,165,10,0.939,,,false,sglang_cache_events_fallback,,,0,,no_evict_seen,control_row
kv_retention_microbenchmark_20260701_231505,sweep,kv_retention_microbenchmark_20260701_231505__sweep,Qwen/Qwen2.5-Coder-7B-Instruct,gpu_only,protected,high-priority,off,100,200,200,153,70,-83,2.186,448,0.959,true,response_usage_cached_tokens,,,0,,no_evict_seen,frontend_priority_unsupported
